17170,5,210,1000,0,19,259,589,491.5,564.5,1
39020,13,420,3000,1262.5,796,815,938,853,664.5,0
5430,2,370,512,0,209.5,584.5,820,904,1095,0
22990,8,370,1500,218.5,436.5,290.5,560.5,641.5,517.5,0
18349,5,430,1000,88,21,92.5,219,411.5,920.5,0
13990,5,350,768,364.5,326.5,609,1015.5,959,1025,0
7234,3,350,512,64,44.5,6,631,641,787,0
26499,8,350,1500,606,420,514.5,323.5,304.5,214,0
17990,8,350,1000,0,0,13.5,133.5,880,682.5,1
5490,2,400,512,252,406.5,278.5,508.5,496.5,458,0
26200,8,330,1500,0,87,602,369,357,343,0
31999,13,370,2000,477.5,167,130.5,246,259.5,212,0
6270,2,850,512,0,20.5,313,594.5,487.5,509,1
37495,16,390,2000,680.5,683.5,884.5,689,677.5,878,0
41500,8,540,2000,0,74,57,506.5,432,602.5,0
20350,8,440,1000,6,0,0,493.5,725,611.5,0
31490,8,420,1500,15,250.5,308,480.5,277,271,0
29999,8,960,1000,629,921,886,536.5,156,371,1
35000,8,830,1000,111.5,294,325.5,422.5,664.5,432.5,1
12999,8,550,1000,0,0,0,541.5,399,265.5,0
12340,8,410,2000,0,0,583.5,229,464.5,282.5,0
10999,8,380,1000,0,0,0,90.5,701,704,0
21999,13,667,2000,0,0,0,463.5,523,626.5,0
12599,8,418,1000,0,0,0,20,491,373.5,0
10990,8,555,1000,0,28,463,623,838,1041,1
53500,8,250,1024,44,38.5,340.5,159.5,100,101.5,1
31500,8,200,512,822.5,503,653.5,603,556.5,540.5,1
11999,5,888,768,1147.7725,849.779,689.472,498.9215,560.273,307.16,0
8505,5,648,512,7.3549,3.6778,17.157,403.9126,41.0032,9.478,1
1136,2,842,384,36.5883,15.2845,307.4722,328.4239,47.1282,5.4929,1
5499,3,672,512,214.0285,335.5835,696.8605,461.7585,268.1945,139.195,0
1870,0.3,600,4,1116.1668,747.9045,482.097,301.714,209.72,100.59,1
1562,0,576,4,417.5325,193.7663,501.5794,232.127,216.09,156.835,1
6999,5,360,512,1257.0355,642.957,808.2025,878.6645,594.23,320.145,1
1175,0,842,384,1514.2925,803.117,768.124,734.7935,626.654,321.405,1
3549,1.3,672,32,188.9636,88.8384,156.5466,484.5925,697.305,283.92,1
16564,5,672,1024,300.951,437.4825,701.568,695.121,613.3015,396.165,1
4775,3,576,64,398.8971,491.9565,357.2135,229.649,269.045,123.935,0
33199,13,790,2048,161.5,356.5,396,330,195.5,183.5,1
2813,2,672,512,414.2565,292.992,836.6645,867.965,613.97,246.12,1
5496,5,528,512,92.5386,80.997,404.698,397.3375,610.0745,187.88,1
3335,2,648,32,290.192,437.815,274.9705,282.898,215.5405,118.51,0
15990,6.7,600,1024,7.2947,50.7346,201.397,500.4013,629.5065,307.895,1
1910,0.3,600,4,252.1946,104.4351,904.5785,811.391,582.435,243.88,1
3905,3.2,624,64,375.2252,304.5175,1099.917,560.595,283.57,303.835,1
8045,5,552,1024,1210.1355,522.9245,513.4885,752.395,735.378,389.375,1
5250,5,480,128,1054.3505,622.279,699.818,452.263,444.962,180.145,0
3799,1.3,480,64,724.5,480.5,629,618.5,579,678,0
8955,5,576,64,566,337,406.5,809,457,416,0
11490,5,498,1024,1118,837.5,10,1048,902,752.5,1
15986,8,588,1024,383,356,802.5,982.5,791.5,716,1
18490,13,520,2048,1063,947,926,892,946.5,850.5,1
22982,13,1046,1024,150.5,287.5,661.5,510,268.5,181.5,1
14400,8,454,1024,1616,89,1069,54,923,823.5,1
11765,5,579,1024,3,9,162,491,368.5,394,0
28399,13,550,2048,259,247,868.5,549,451.5,323.5,1
14398,8,827,1024,373,477,381.5,306.5,311,294.5,1
16950,8,700,1024,585.5,840,654.5,689,662,681,1
9999,8,852,768,124.7981,1046.5875,1018.843,1101.4955,721.63,426.895,1
11990,5,750,1024,637,715,249,441,435.5,384,0
15291,8,780,1024,409.0177,586.418,493.794,1046.311,568.89,75.3025,0
43875,13,720,2048,525,346,565.5,526.5,408.5,285,0
9999,3.2,432,512,13,57,395.5,648,846.5,1032.5,0
13500,5,336,512,0,0,0,240.5,299,734.5,0
11226,5,432,512,0,0,325,201.5,1215.5,682.5,0
13624,5,840,2000,149.5,58.5,84,109.5,163.5,567,1
14545,5,384,1500,22,33.5,99,70,98.5,484,1
43000,8,408,2000,854.5,593.5,780.5,982.5,845,811,0
25999,8,355,2000,740.5,495.5,434,773,836.5,1083.5,0
28688,8,384,2000,191.5,487.5,819,416,357.5,1072.5,1
27490,5,408,768,0,0,565.5,955.5,1059.5,864.5,0
28990,5,295,768,0,253.5,526.5,851.5,1124.5,975,1
34900,5,307,768,0,650,721.5,656.5,646,786.5,0
20999,16,175,2000,64,324,606,305,237,253.5,0
24000,16,210,2000,168.5,586,520,323,271.5,261,1
20000,13,205,1000,393.5,539,522.5,264.5,251.5,253.5,1
23000,12,220,1000,210.5,139,140,771,500.5,289.5,0
13389,8,209,1000,646,765.5,699,544.5,482,515,1
13000,12,180,1000,0,788,959.5,749.5,757,736,1
25000,13,105,2000,152,720,409,260,219,194.5,0
16000,8,250,1000,257.5,604,782.5,538,353.5,282.5,0
15000,8,220,1000,0,21,700,314,326,124,0
13000,8,210,1000,117,455,869.5,835,762,776.5,0
10900,5,260,512,180,774,728,554.5,523.5,400.5,1
15000,8,180,1000,0,0,54,625.5,390,231.5,1
10481,8,150,1000,214,108,61.5,28,116.5,256.5,0
11000,5,240,512,0,0,50.5,243.5,137,94.5,0
9370,8,150,1000,0,0,0,680.5,618.5,509.5,1
9000,5,282,1000,0,0,0,417,479,457,1
11500,8,225,1000,106,337.7,260.5,275.5,330.5,642.5,1
11500,8,240,1000,0,0,540.5,583.5,642,548.5,1
10000,5,260,512,0,0,17,688.5,373.5,231.5,0
9000,5,190,1000,0,0,0,664.5,570,479,1
6000,5,295,1000,1174.5,864.5,819,942.5,1095.5,1267.5,0
10000,8,353,2000,217.5,209,512,824.5,812.5,922.5,1
17000,13,298,2000,1178.5,910,845,916.5,1040,1267.5,0
7000,5,200,1000,1.5,16.5,344.5,273.5,225,192,1
11000,5,250,1000,936,551.5,547,517.5,516,502,1
17000,10,576,2000,474.5,256,555.5,535.5,456,479,1
37500,8,250,1000,5,21,267.5,97.5,45,50,1
